Exec_Order, ThreadId, elapsed_us, elapsed_uc, COMMIT_CYC, INSTRUCTIONS, CLOCK_CYC, L2_CACHE_MISS
265, 6555, 3152, 11973800, 3026085, 5035122, 11853062, 279585 
266, 6555, 8431, 32041600, 8417724, 25197294, 23747575, 526008 
267, 6555, 8253, 31361400, 8417641, 25197039, 23277985, 526082 
268, 6555, 14961, 56851800, 14475637, 35262534, 48744031, 1079030 
269, 6555, 3154, 11981400, 3033282, 5033121, 11923619, 280106 
270, 6555, 3140, 11932000, 3033254, 5033121, 11864278, 280057 
271, 6555, 16, 57000, 4078, 9690, 27791, 207 
272, 6555, 1, 3800, 340, 704, 2656, 7 
1, 6620, 4368, 16594600, 1030788, 2497635, 6355760, 34114 
273, 6555, 2, 7600, 378, 661, 6689, 67 
274, 6555, 1, 3800, 344, 704, 3208, 8 
1, 6621, 4231, 16081600, 1032539, 2501105, 6044784, 33588 
275, 6555, 2, 7600, 374, 661, 7617, 66 
276, 6555, 1, 3800, 345, 704, 2971, 9 
1, 6622, 4280, 16267800, 1030249, 2496715, 6486661, 32218 
277, 6555, 3105, 11799000, 3026074, 5035122, 11671130, 279558 
278, 6555, 8465, 32167000, 8417643, 25197297, 23841489, 526167 
279, 6555, 9377, 35636400, 8417585, 25197297, 27381730, 526320 
280, 6555, 15247, 57942400, 14475603, 35262532, 49906292, 1078887 
281, 6555, 3152, 11977600, 3033235, 5033121, 11918088, 280131 
282, 6555, 3206, 12186600, 3033293, 5033121, 12118432, 280141 
283, 6555, 22, 87400, 4072, 9663, 28471, 215 
284, 6555, 1, 0, 342, 704, 2731, 7 
1, 6623, 4357, 16560400, 1032495, 2499441, 6446663, 35559 
285, 6555, 2, 7600, 379, 661, 7128, 62 
286, 6555, 1, 3800, 341, 704, 3288, 11 
1, 6624, 4170, 15849800, 1033139, 2502975, 5777073, 33007 
287, 6555, 2, 3800, 380, 661, 6600, 67 
288, 6555, 1, 3800, 340, 704, 3064, 11 
1, 6625, 4323, 16431200, 1033050, 2500977, 5890757, 33889 
289, 6555, 3128, 11882600, 3026031, 5035121, 11814297, 279569 
290, 6555, 8398, 31912400, 8417677, 25197297, 23641229, 526204 
291, 6555, 8892, 33793400, 8417756, 25197293, 25562358, 526076 
292, 6555, 14939, 56768200, 14476551, 35262793, 48885649, 1079246 
293, 6555, 3243, 12319600, 3033266, 5033124, 12082634, 280145 
294, 6555, 3169, 12038400, 3033225, 5033122, 11959258, 280030 
295, 6555, 16, 60800, 4076, 9685, 28545, 206 
296, 6555, 1, 3800, 343, 704, 2723, 5 
1, 6626, 4156, 15792800, 1032088, 2501200, 5893407, 34649 
297, 6555, 2, 7600, 380, 661, 6874, 67 
298, 6555, 1, 3800, 343, 704, 3111, 7 
1, 6627, 4185, 15903000, 1032066, 2501434, 5822509, 32241 
299, 6555, 3, 7600, 379, 661, 7860, 64 
300, 6555, 1, 3800, 345, 704, 3079, 7 
1, 6628, 4296, 16324800, 1033386, 2502177, 5863376, 34066 
301, 6555, 3130, 11890200, 3026110, 5035121, 11815545, 279570 
302, 6555, 8374, 31821200, 8417666, 25197552, 23769518, 526194 
303, 6555, 8271, 31429800, 8417490, 25197296, 23580491, 526385 
304, 6555, 14987, 56954400, 14476507, 35262790, 49089801, 1079044 
305, 6555, 3146, 11951000, 3033197, 5033121, 11893383, 280061 
306, 6555, 3163, 12015600, 3033324, 5033121, 11952589, 280078 
307, 6555, 16, 60800, 4081, 9690, 29190, 208 
308, 6555, 1, 3800, 342, 704, 2628, 6 
1, 6629, 3886, 14766800, 1032070, 2501947, 6111060, 34287 
309, 6555, 2, 7600, 375, 661, 6972, 66 
310, 6555, 1, 3800, 344, 704, 3041, 9 
1, 6630, 4104, 15595200, 1032787, 2503257, 6488571, 33164 
311, 6555, 2, 7600, 379, 661, 7114, 63 
312, 6555, 1, 3800, 340, 704, 2877, 10 
1, 6631, 4479, 17016400, 1031780, 2500080, 5988070, 33517 
313, 6555, 3103, 11791400, 3026176, 5035122, 11712722, 279638 
314, 6555, 8420, 31999800, 8417695, 25197550, 23805259, 526092 
315, 6555, 8248, 31342400, 8417593, 25197551, 23409799, 526343 
316, 6555, 15046, 57178600, 14475642, 35262794, 49076857, 1079074 
317, 6555, 3154, 11981400, 3033261, 5033121, 11917899, 280089 
318, 6555, 3137, 11916800, 3033190, 5033121, 11856904, 280110 
319, 6555, 14, 53200, 4079, 9663, 27927, 195 
320, 6555, 0, 3800, 350, 704, 2624, 5 
1, 6632, 4314, 16397000, 1032471, 2498800, 6411389, 36299 
321, 6555, 2, 7600, 380, 661, 7682, 67 
322, 6555, 1, 3800, 345, 704, 3286, 8 
1, 6633, 4384, 16663000, 1034172, 2503091, 5775108, 34488 
323, 6555, 2, 7600, 376, 661, 6674, 58 
324, 6555, 1, 0, 343, 704, 3073, 16 
1, 6634, 4315, 16393200, 1034280, 2503146, 6159764, 35495 
325, 6555, 3146, 11954800, 3026072, 5035158, 11825634, 279611 
326, 6555, 8801, 33447600, 8417724, 25197552, 24980346, 526166 
327, 6555, 8358, 31764200, 8417794, 25197549, 23758257, 526753 
328, 6555, 15611, 59321800, 14475571, 35263049, 51219374, 1079318 
329, 6555, 3147, 11958600, 3033239, 5033121, 11898276, 280046 
330, 6555, 3181, 12087800, 3033230, 5033122, 11986232, 280094 
331, 6555, 16, 60800, 4094, 9754, 28720, 216 
332, 6555, 0, 3800, 347, 704, 2598, 8 
1, 6635, 4317, 16408400, 1032847, 2500225, 6372427, 35345 
333, 6555, 2, 7600, 375, 661, 6897, 64 
334, 6555, 1, 3800, 343, 704, 2986, 12 
1, 6636, 4621, 17559800, 1032123, 2499912, 6189987, 35095 
335, 6555, 2, 7600, 377, 661, 7189, 67 
336, 6555, 1, 3800, 342, 704, 3057, 12 
