Exec_Order, ThreadId, elapsed_us, elapsed_uc, COMMIT_CYC, INSTRUCTIONS, CLOCK_CYC, L2_CACHE_MISS
1, 25842, 2963, 11259400, 1019836, 2481928, 5589033, 27634 
343, 25773, 2, 7600, 353, 634, 7800, 60 
344, 25773, 1, 3800, 340, 704, 3055, 9 
1, 25843, 3131, 11901600, 1029908, 2496558, 5844421, 31227 
345, 25773, 42, 159600, 31986, 58977, 156506, 5623 
346, 25773, 99, 376200, 130354, 323616, 278697, 4104 
347, 25773, 129, 494000, 192588, 434523, 395030, 3845 
348, 25773, 19, 68400, 31341, 57445, 69855, 117 
349, 25773, 2, 7600, 688, 1483, 7223, 37 
350, 25773, 4, 11400, 980, 2381, 5675, 14 
351, 25773, 4, 19000, 1332, 2989, 9226, 15 
352, 25773, 1, 3800, 493, 1056, 4324, 2 
353, 25773, 2, 7600, 400, 726, 6530, 41 
354, 25773, 1, 3800, 343, 704, 2728, 4 
1, 25844, 2971, 11286000, 1020062, 2476792, 5511368, 31552 
355, 25773, 2, 7600, 355, 634, 6721, 56 
356, 25773, 1, 3800, 344, 704, 2979, 8 
1, 25845, 2982, 11331600, 1018273, 2477013, 5817578, 28378 
357, 25773, 47, 178600, 32438, 59692, 175832, 5789 
358, 25773, 97, 372400, 130376, 303814, 262261, 4077 
359, 25773, 119, 452200, 192595, 417801, 365952, 3845 
360, 25773, 32, 125400, 31344, 57445, 123257, 3377 
361, 25773, 2, 3800, 399, 721, 6686, 43 
362, 25773, 1, 3800, 348, 704, 3045, 4 
1, 25846, 2822, 10723600, 1019797, 2480431, 5670747, 27840 
363, 25773, 2, 7600, 349, 634, 7584, 56 
364, 25773, 1, 3800, 345, 704, 3108, 8 
1, 25847, 2734, 10389200, 1018170, 2479745, 5213463, 24652 
365, 25773, 47, 178600, 32146, 58977, 175705, 5753 
366, 25773, 117, 440800, 130396, 323512, 331938, 7973 
367, 25773, 128, 490200, 192582, 434245, 391378, 3166 
368, 25773, 19, 72200, 31333, 57445, 71892, 220 
369, 25773, 2, 11400, 681, 1483, 8268, 41 
370, 25773, 4, 15200, 984, 2380, 6724, 20 
371, 25773, 4, 15200, 1328, 2989, 7527, 21 
372, 25773, 1, 7600, 499, 1056, 4396, 1 
373, 25773, 2, 7600, 404, 726, 6772, 45 
374, 25773, 1, 3800, 346, 704, 2745, 4 
1, 25848, 2778, 10560200, 1020993, 2476889, 5420604, 28541 
375, 25773, 2, 7600, 351, 634, 7375, 56 
376, 25773, 1, 3800, 342, 704, 3299, 8 
1, 25849, 2861, 10875600, 1016422, 2475865, 5363354, 28292 
377, 25773, 51, 193800, 32440, 59692, 187510, 5815 
378, 25773, 94, 353400, 130370, 303813, 253418, 2724 
379, 25773, 117, 448400, 192632, 417800, 361979, 3027 
380, 25773, 18, 68400, 31339, 57445, 68175, 111 
381, 25773, 2, 3800, 400, 721, 5836, 35 
382, 25773, 1, 3800, 344, 704, 2691, 6 
1, 25850, 2741, 10419600, 1021595, 2482067, 5314444, 26473 
383, 25773, 2, 7600, 351, 634, 7980, 61 
384, 25773, 1, 3800, 340, 704, 3409, 8 
1, 25851, 2773, 10537400, 1019839, 2483696, 5317451, 24594 
385, 25773, 47, 178600, 32151, 58977, 177662, 5766 
386, 25773, 95, 361000, 130345, 323408, 252002, 2729 
387, 25773, 135, 513000, 192561, 433969, 405960, 5985 
388, 25773, 17, 64600, 31334, 57445, 64028, 56 
389, 25773, 2, 7600, 678, 1483, 7150, 34 
